Designator,Mid X,Mid Y,Rotation,Layer
C1,154.499999,-134.700001,270.0,top
C10,125.35,-114.46,305.0,top
C11,128.18,-117.82,315.0,top
C12,131.55,-120.64,325.0,top
C13,135.35,-122.84,335.0,top
C14,139.48,-124.35,345.0,top
C15,154.62,-123.69,20.0,top
C16,171.11,-102.2,85.0,top
C17,171.11,-97.8,95.0,top
C18,165.31,-83.8,130.0,top
C19,167.82,-87.4,120.0,top
C2,148.75,-97.25,315.0,top
C20,122.32,-91.38,250.0,top
C21,120.9,-97.81,265.0,top
C22,148.2,-125.12,5.0,top
C23,150.38,-124.83,10.0,top
C24,143.8,-125.12,355.0,top
C25,160.47,-120.66,35.0,top
C26,168.84,-110.65,65.0,top
C27,170.35,-93.48,105.0,top
C28,166.65,-85.54,125.0,top
C29,163.82,-82.18,135.0,top
C3,135.6125,-134.3,180.0,top
C30,160.45,-79.35,145.0,top
C31,156.65,-77.16,155.0,top
C32,123.16,-89.35,245.0,top
C33,124.175,-72.75,90.0,top
C34,158.61,-121.84,30.0,top
C35,171.21,-100.0,90.0,top
C36,143.8,-74.89,185.0,top
C37,162.2,-80.69,140.0,top
C38,169.68,-91.38,110.0,top
C39,124.18,-87.4,240.0,top
C4,163.899999,-134.699999,90.0,top
C40,120.89,-102.2,275.0,top
C41,137.38,-123.68,340.0,top
C42,141.62,-124.82,350.0,top
C43,122.175,-72.75,90.0,top
C44,113.175,-77.25,270.0,top
C45,115.175,-77.25,270.0,top
C46,152.53,-124.35,15.0,top
C47,163.82,-117.82,45.0,top
C48,170.34,-106.52,75.0,top
C49,170.83,-95.62,100.0,top
C5,146.0,-60.7,180.0,top
C50,152.526355,-75.645768,165.0,top
C51,150.38,-75.17,170.0,top
C52,139.476356,-75.644234,195.0,top
C53,141.62,-75.18,190.0,top
C54,121.65,-93.48,255.0,top
C55,117.175,-65.75,270.0,top
C56,117.675,-68.75,180.0,top
C57,162.202299,-119.308538,40.0,top
C58,169.68,-108.62,70.0,top
C59,148.2,-74.88,175.0,top
C6,146.0,-125.21,0.0,top
C60,158.6,-78.17,150.0,top
C61,137.37,-76.31,200.0,top
C62,126.7,-83.8,230.0,top
C63,120.8,-100.0,270.0,top
C64,129.8,-119.31,320.0,top
C65,133.4,-121.82,330.0,top
C66,156.66,-122.86,25.0,top
C67,166.65,-114.46,55.0,top
C68,170.82,-104.38,80.0,top
C69,168.85,-89.35,115.0,top
C7,121.173351,-104.372708,280.0,top
C70,135.35,-77.16,205.0,top
C71,131.54,-79.36,215.0,top
C72,128.18,-82.19,225.0,top
C73,125.36,-85.55,235.0,top
C74,121.17,-95.62,260.0,top
C75,109.5,-116.75,180.0,top
C76,126.25,-133.25,90.0,top
C77,165.3,-116.2,50.0,top
C78,167.83,-112.6,60.0,top
C79,146.0,-74.79,180.0,top
C8,121.64,-106.53,285.0,top
C80,154.62,-76.31,160.0,top
C81,133.394308,-78.18,210.0,top
C82,129.81,-80.71,220.0,top
C83,122.31,-108.62,290.0,top
C84,124.17,-112.61,300.0,top
C85,126.7,-116.2,310.0,top
C86,170.15,-122.3,270.0,top
C87,172.15,-122.3,270.0,top
C88,178.85,-117.3,0.0,top
C89,173.6,-125.8,0.0,top
C9,123.16,-110.65,295.0,top
C90,128.25,-136.75,270.0,top
C91,175.0,-117.3,180.0,top
C92,126.25,-136.75,270.0,top
C93,160.237501,-62.25,0.0,top
C94,160.2375,-67.35,180.0,top
C95,160.2375,-68.899995,180.0,top
D1,146.0,-126.75,90.0,top
D10,143.650001,-126.650882,85.0,top
D11,127.09,-118.91,45.0,top
D12,119.36,-102.33,5.0,top
D13,124.093271,-84.660509,325.0,top
D14,139.078194,-74.158863,285.0,top
D15,157.31,-75.76,245.0,top
D16,170.243264,-88.691864,205.0,top
D17,171.84,-106.92,165.0,top
D18,161.34,-121.91,125.0,top
D19,141.35,-126.34,80.0,top
D2,128.81,-120.49,50.0,top
D20,125.505467,-117.196025,40.0,top
D21,119.25,-100.0,0.0,top
D22,125.51,-82.8,320.0,top
D23,141.355018,-73.658693,280.0,top
D24,159.37,-76.84,240.0,top
D25,171.129878,-90.852058,200.0,top
D26,171.13,-109.15,160.0,top
D27,159.37415,-123.160848,120.0,top
D28,139.08,-125.84,75.0,top
D29,124.09,-115.34,35.0,top
D3,119.657113,-104.641014,10.0,top
D30,119.352492,-97.669068,355.0,top
D31,127.09,-81.08,315.0,top
D32,143.669064,-73.35249,275.0,top
D33,161.34,-78.09,235.0,top
D34,171.832386,-93.074811,195.0,top
D35,170.24,-111.3,155.0,top
D36,157.3,-124.24,115.0,top
D37,136.85,-125.13,70.0,top
D38,122.83915,-113.374149,30.0,top
D39,119.653684,-95.352259,350.0,top
D4,122.84,-86.64,330.0,top
D40,128.8,-79.51,310.0,top
D41,145.999997,-73.249997,270.0,top
D42,163.2,-79.51,230.0,top
D43,172.34,-95.36,190.0,top
D44,169.16,-113.38,150.0,top
D45,155.14,-125.13,110.0,top
D46,134.7,-124.24,65.0,top
D47,121.762339,-111.308018,25.0,top
D48,120.16,-93.08,345.0,top
D49,130.660504,-78.093272,305.0,top
D5,136.848948,-74.863228,290.0,top
D50,148.327505,-73.350929,265.0,top
D51,164.91,-81.08,225.0,top
D52,172.64,-97.67,185.0,top
D53,167.91,-115.34,145.0,top
D54,152.92,-125.83,105.0,top
D55,132.62,-123.17,60.0,top
D56,120.87,-109.15,20.0,top
D57,120.863228,-90.858952,340.0,top
D58,132.624704,-76.835288,300.0,top
D59,150.65,-73.66,260.0,top
D6,155.15,-74.87,250.0,top
D60,166.49,-82.8,220.0,top
D61,172.74,-100.0,180.0,top
D62,166.49,-117.2,140.0,top
D63,150.65,-126.34,100.0,top
D64,130.66,-121.91,55.0,top
D65,120.161802,-106.921136,15.0,top
D66,121.76,-88.69,335.0,top
D67,134.697656,-75.761982,295.0,top
D68,152.92,-74.16,255.0,top
D69,167.91,-84.66,215.0,top
D7,169.165289,-86.625289,210.0,top
D70,172.65,-102.33,175.0,top
D71,164.91,-118.91,135.0,top
D72,148.33,-126.65,95.0,top
D8,172.336316,-104.647741,170.0,top
D9,163.19,-120.49,130.0,top
J1,146.0,-140.6,0.0,top
J5,129.493814,-116.63877,225.0,bottom
J6,162.42709197745418,-116.42732502448781,135.0,bottom
J7,163.6,-62.875,180.0,bottom
J8,179.2,-62.875,180.0,bottom
J9,171.4,-62.875,180.0,bottom
L1,120.425,-72.75,270.0,top
Q1,118.175,-76.25,180.0,top
Q2,154.1875,-67.3,180.0,top
Q3,154.1875,-63.8,180.0,top
R1,149.8,-130.9,0.0,top
R10,110.249997,-114.074999,90.0,top
R11,119.675,-66.75,0.0,top
R12,119.675,-65.25,180.0,top
R13,117.675,-71.75,180.0,top
R14,117.675,-70.25,0.0,top
R15,173.6,-134.8,270.0,top
R16,175.2,-134.8,270.0,top
R17,176.8,-134.8,270.0,top
R18,178.4,-134.8,270.0,top
R19,180.0,-134.8,270.0,top
R2,142.2,-130.9,180.0,top
R20,181.6,-134.8,270.0,top
R21,128.0,-133.25,90.0,top
R22,130.25,-136.675002,270.0,top
R23,140.75,-66.75,180.0,top
R24,151.45,-67.25,90.0,top
R25,151.4375,-63.874998,90.0,top
R26,140.75,-64.25,180.0,top
R27,157.15,-67.075,90.0,top
R28,157.15,-64.0,270.0,top
R3,169.5,-100.0,0.0,bottom
R4,161.6,-100.0,0.0,bottom
R5,113.25,-116.25,270.0,top
R6,130.4,-100.0,180.0,bottom
R7,122.5,-100.0,180.0,bottom
R8,114.75,-116.25,90.0,top
R9,111.75,-114.074998,90.0,top
SW1,125.75,-132.25,90.0,bottom
SW2,121.75,-132.25,270.0,bottom
U1,135.6125,-136.81,180.0,top
